fixture,candidate,component,expected_historical,local_actual,ci_actual,local_expected_equal,local_expected_bitwise_equal,local_expected_absolute_difference,local_expected_relative_difference,local_expected_ulp_distance,ci_available
depth_x10_y2,isotropic,union,0.4310493950947813,0.4310493950947813,,True,True,0.0,0.0,0,False
depth_x10_y2,isotropic,maximum,0.4310493950947813,0.4310493950947813,,True,True,0.0,0.0,0,False
depth_x10_y2,expanding,individual_1,0.37125370057275825,0.37125370057275825,,True,True,0.0,0.0,0,False
depth_x10_y2,expanding,union,0.37125370057275825,0.37125370057275825,,True,True,0.0,0.0,0,False
depth_x10_y2,expanding,maximum,0.37125370057275825,0.37125370057275825,,True,True,0.0,0.0,0,False
depth_x10_y2,constant_width,individual_1,0.332257521519919,0.332257521519919,,True,True,0.0,0.0,0,False
depth_x10_y2,constant_width,union,0.332257521519919,0.332257521519919,,True,True,0.0,0.0,0,False
depth_x10_y2,constant_width,maximum,0.332257521519919,0.332257521519919,,True,True,0.0,0.0,0,False
depth_x20_y0,isotropic,individual_1,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
depth_x20_y0,isotropic,union,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
depth_x20_y0,isotropic,maximum,0.24910629516606975,0.24910629516606975,,True,True,0.0,0.0,0,False
depth_x20_y0,expanding,individual_1,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
depth_x20_y0,expanding,union,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
depth_x20_y0,expanding,maximum,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
depth_x20_y0,constant_width,individual_1,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
depth_x20_y0,constant_width,union,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
depth_x20_y0,constant_width,maximum,0.7249999955432335,0.7249999955432335,,True,True,0.0,0.0,0,False
depth_x20_y2,isotropic,individual_1,0.24026480109741932,0.24026480109741932,,True,True,0.0,0.0,0,False
depth_x20_y2,isotropic,union,0.24026480109741932,0.24026480109741932,,True,True,0.0,0.0,0,False
depth_x20_y2,isotropic,maximum,0.24026480109741932,0.24026480109741932,,True,True,0.0,0.0,0,False
depth_x20_y2,expanding,individual_1,0.6767106757590642,0.6767106757590642,,True,True,0.0,0.0,0,False
depth_x20_y2,expanding,union,0.6767106757590642,0.6767106757590642,,True,True,0.0,0.0,0,False
depth_x20_y2,expanding,maximum,0.6767106757590642,0.6767106757590642,,True,True,0.0,0.0,0,False
depth_x20_y2,constant_width,individual_1,0.5840681144277332,0.5840681144277332,,True,True,0.0,0.0,0,False
depth_x20_y2,constant_width,union,0.5840681144277332,0.5840681144277332,,True,True,0.0,0.0,0,False
depth_x20_y2,constant_width,maximum,0.5840681144277332,0.5840681144277332,,True,True,0.0,0.0,0,False
depth_x40_y0,isotropic,individual_1,0.12455314736647953,0.12455314736647953,,True,True,0.0,0.0,0,False
depth_x40_y0,isotropic,union,0.12455314736647953,0.12455314736647953,,True,True,0.0,0.0,0,False
depth_x40_y0,isotropic,maximum,0.12455314736647953,0.12455314736647953,,True,True,0.0,0.0,0,False
depth_x40_y0,expanding,individual_1,0.8624999977716167,0.8624999977716167,,True,True,0.0,0.0,0,False
depth_x40_y0,expanding,union,0.8624999977716167,0.8624999977716167,,True,True,0.0,0.0,0,False
depth_x40_y0,expanding,maximum,0.8624999977716167,0.8624999977716167,,True,True,0.0,0.0,0,False
depth_x40_y0,constant_width,individual_1,0.8624999977716167,0.8624999977716167,,True,True,0.0,0.0,0,False
depth_x40_y0,constant_width,union,0.8624999977716167,0.8624999977716167,,True,True,0.0,0.0,0,False
depth_x40_y0,constant_width,maximum,0.8624999977716167,0.8624999977716167,,True,True,0.0,0.0,0,False
depth_x40_y2,isotropic,individual_1,0.1234252638843721,0.1234252638843721,,True,True,0.0,0.0,0,False
depth_x40_y2,isotropic,union,0.1234252638843721,0.1234252638843721,,True,True,0.0,0.0,0,False
depth_x40_y2,isotropic,maximum,0.1234252638843721,0.1234252638843721,,True,True,0.0,0.0,0,False
depth_x40_y2,expanding,individual_1,0.8429185185506197,0.8429185185506197,,True,True,0.0,0.0,0,False
depth_x40_y2,expanding,union,0.8429185185506197,0.8429185185506197,,True,True,0.0,0.0,0,False
depth_x40_y2,expanding,maximum,0.8429185185506197,0.8429185185506197,,True,True,0.0,0.0,0,False
